Temporary table to store results from Tasks


ZZTCODE	 ZZDYNAME	 ZZDYNUMB	 ZZMSGTYP	 ZZMSGSPRA	 ZZMSGID	 ZZMSGNR	 ZZMSGV1	 ZZMSGV2	 ZZMSGV3	 ZZMSGV4	 ZZENV	 ZZFLDNAME
X	 X	 X	 X	 	 	 	 	 	 	 	 	
TCODE-CHAR(20)	 PROGNAME-CHAR(40)	 DYNNR-CHAR(4)	 CHAR1-CHAR(1)	 SYLANGU-LANG(1)	 ARBGB-CHAR(20)	 CHAR3-CHAR(3)	 CHAR100-CHAR(100)	 CHAR100-CHAR(100)	 CHAR100-CHAR(100)	 CHAR100-CHAR(100)	 BDCAKTIVI-CHAR(4)	 DYNFNAM-CHAR(132)
IW32	 SAPLCOIH	 3000	 S	 E	 IW	 080	 4000000795	 	 	 	 CTU	
IW32	 SAPLCOIH	 0101	 E	 E	 CO	 470	 0000030797	 WF-BATCH	 	 	 CTU	 CAUFVD-AUFNR
IW32	 SAPLKKBL	 0500	 S	 E	 SY	 355	 0000019572	 	 	 	 CTU	
IW32	 SAPLCOIH	 3000	 I	 E	 IW	 461	 Error when calculating costs	 for order 004000000713.	 	 	 CTU	
Workflow ser ord	 134949	   1	 	 	 	 	 Order 4000000881 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 143611	   1	 	 	 	 	 Order 4000000680 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 144619	   1	 	 	 	 	 Order 4000000882 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 145422	   1	 	 	 	 	 Order 4000000883 is locked and cannot be changed	 	 	 	 	
test	 test	 	 	 	 	 	 	 	 	 	 	
equi crea idoc check	 141654	 	 	 	 	 	 TEST13	 	 	 	 	
equi crea idoc befor	 141655	 	 	 	 	 	 	 	 	 	 	
equi crea idoc	 141655	 	 	 	 	 	 000000010003400	 	 	 	 	
equi crea idoc check	 141835	 	 	 	 	 	 TEST15	 	 	 	 	
equi crea idoc befor	 141836	 	 	 	 	 	 TEST15	 	 	 	 	
equi crea idoc	 141836	 	 	 	 	 	 000000000010003401TEST15	 	 	 	 	
equi crea idoc	 145846	 	 	 	 	 	 000000010003403	 	 	 	 	
equi crea idoc	 150129	 	 	 	 	 	 000000000000000000	 	 	 	 	
equi crea idoc	 151047	 	 	 	 	 	 000000000010003405TEST_CON	 	 	 	 	
equi crea idoc	 151933	 	 	 	 	 	 000000000010003407TEST_CONV_04	 	 	 	 	
equi crea idoc	 153309	 	 	 	 	 	 000000000010006290KEVIN1	 	 	 	 	
equi crea idoc	 153923	 	 	 	 	 	 000000000010003408AIF084641	 	 	 	 	
equi crea idoc	 160339	 	 	 	 	 	 000000000010003415000000000000002066	 	 	 	 	
equi crea idoc	 164326	 	 	 	 	 	 000000000010003397TEST10	 	 	 	 	
equi crea idoc	 164930	 	 	 	 	 	 000000000010003416ABC	 	 	 	 	
equi crea idoc	 154505	 	 	 	 	 	 000000000010003413E123456789	 	 	 	 	
equi crea idoc	 121059	 	 	 	 	 	 000000000010003417AIPVC001	 	 	 	 	
equi crea idoc	 101154	 	 	 	 	 	 000000000010003418	 	 	 	 	
equi crea idoc	 123911	 	 	 	 	 	 000000000010003419	 	 	 	 	
equi crea idoc	 145011	 	 	 	 	 	 000000000010003420000000000000002067	 	 	 	 	
equi crea idoc	 091043	 	 	 	 	 	 000000000010003421TEST_CONV_99	 	 	 	 	
equi crea idoc	 121413	 	 	 	 	 	 000000000010003422AII167461	 	 	 	 	
equi crea idoc	 131620	 	 	 	 	 	 000000000010003428API160995	 	 	 	 	
equi crea idoc	 141002	 	 	 	 	 	 000000000010003446000000000000000018	 	 	 	 	
equi crea idoc	 141003	 	 	 	 	 	 000000000010003451000000000000000023	 	 	 	 	
equi crea idoc	 141010	 	 	 	 	 	 000000000010003536000000000000000108	 	 	 	 	
equi crea idoc	 130947	 	 	 	 	 	 000000000010003423000000000000000002	 	 	 	 	
equi crea idoc	 141005	 	 	 	 	 	 000000000010003476000000000000000048	 	 	 	 	
equi crea idoc	 141014	 	 	 	 	 	 000000000010003607000000000000000179	 	 	 	 	
equi crea idoc	 135157	 	 	 	 	 	 000000000010003433000000000000000005	 	 	 	 	
equi crea idoc	 141008	 	 	 	 	 	 000000000010003511000000000000000083	 	 	 	 	
equi crea idoc	 141004	 	 	 	 	 	 000000000010003462000000000000000034	 	 	 	 	
equi crea idoc	 141012	 	 	 	 	 	 000000000010003574000000000000000146	 	 	 	 	
equi crea idoc	 141006	 	 	 	 	 	 000000000010003490000000000000000062	 	 	 	 	
equi crea idoc	 141007	 	 	 	 	 	 000000000010003507000000000000000079	 	 	 	 	
equi crea idoc	 141009	 	 	 	 	 	 000000000010003522000000000000000094	 	 	 	 	
equi crea idoc	 141013	 	 	 	 	 	 000000000010003590000000000000000162	 	 	 	 	
equi crea idoc	 141018	 	 	 	 	 	 000000000010003671000000000000000243	 	 	 	 	
equi crea idoc	 141011	 	 	 	 	 	 000000000010003558000000000000000130	 	 	 	 	
equi crea idoc	 141025	 	 	 	 	 	 000000000010003771000000000000000343	 	 	 	 	
equi crea idoc	 141019	 	 	 	 	 	 000000000010003688000000000000000260	 	 	 	 	
equi crea idoc	 141015	 	 	 	 	 	 000000000010003628000000000000000200	 	 	 	 	
equi crea idoc	 141016	 	 	 	 	 	 000000000010003644000000000000000216	 	 	 	 	
equi crea idoc	 141020	 	 	 	 	 	 000000000010003703000000000000000275	 	 	 	 	
equi crea idoc	 141017	 	 	 	 	 	 000000000010003660000000000000000232	 	 	 	 	
equi crea idoc	 141027	 	 	 	 	 	 000000000010003800000000000000000372	 	 	 	 	
equi crea idoc	 141024	 	 	 	 	 	 000000000010003752000000000000000324	 	 	 	 	
equi crea idoc	 141023	 	 	 	 	 	 000000000010003738000000000000000310	 	 	 	 	
equi crea idoc	 141021	 	 	 	 	 	 000000000010003716000000000000000288	 	 	 	 	
equi crea idoc	 141022	 	 	 	 	 	 000000000010003733000000000000000305	 	 	 	 	
equi crea idoc	 141030	 	 	 	 	 	 000000000010003844000000000000000416	 	 	 	 	
