PGC's to derive measuring points


MANDT	 ZPRODH3	 ZCOLNR
X	 X	
Client	 AM: Product Hierarchy L3 - PGC	 AM: Column number
MANDT-CLNT(3)	 ZPRODH3-CHAR(4)	 ZCHAR3-CHAR(3)
100	 1010	 D01
100	 1011	 D01
100	 1023	 D01
100	 110	 Y01
100	 1101	 D01
100	 1102	 D01
100	 1103	 D01
100	 1104	 D01
100	 111	 Y01
100	 112	 Y01
100	 1121	 D01
100	 1122	 D01
100	 1123	 D01
100	 113	 Y01
100	 1130	 D01
100	 1131	 D01
100	 1202	 D01
100	 1203	 D01
100	 1204	 D01
100	 1207	 D01
100	 1208	 D01
100	 1209	 D01
100	 1210	 D01
100	 1211	 D01
100	 1212	 D01
100	 1232	 D01
100	 1233	 D01
100	 1241	 D01
100	 1242	 D01
100	 1243	 D01
100	 1244	 D01
100	 1260	 D01
100	 1281	 D01
100	 1282	 D01
100	 1283	 D01
100	 1285	 D01
100	 1286	 D01
100	 130	 Y01
100	 1302	 D01
100	 131	 Y01
100	 1310	 D01
100	 1311	 D01
100	 1315	 D01
100	 1316	 D01
100	 1317	 D01
100	 134	 Y01
100	 1340	 D01
100	 1360	 D01
100	 1361	 D01
100	 1362	 D01
100	 1363	 D01
100	 1364	 D01
100	 1365	 D01
100	 1366	 D01
100	 1367	 D01
100	 1380	 D01
100	 1381	 D01
100	 1382	 D01
100	 140	 Y01
100	 144	 Y01
100	 1501	 D01
100	 1502	 D01
100	 1510	 D01
100	 1550	 D01
100	 1551	 D01
100	 1552	 D01
100	 1560	 D01
100	 1561	 D01
100	 1562	 D01
100	 1601	 D01
100	 1602	 D01
100	 1610	 D01
100	 1620	 D01
100	 1631	 D01
100	 1632	 D01
100	 1650	 D01
100	 1651	 D01
100	 1652	 D01
100	 1660	 D01
100	 1661	 D01
100	 170	 Y01
100	 1701	 D01
100	 1702	 D01
100	 171	 Y01
100	 17A	 Y01
100	 180	 Y01
100	 181	 Y01
100	 18A	 Y01
100	 190	 Y01
100	 19A	 Y01
100	 2101	 D01
100	 2102	 D01
100	 2103	 D01
100	 2104	 D01
100	 2105	 D01
100	 2106	 D01
100	 2107	 D01
100	 2110	 D01
100	 2111	 D01
100	 2112	 D01
100	 2113	 D01
100	 2114	 D01
100	 2115	 D01
100	 2120	 D01
100	 2201	 D01
100	 2202	 D01
100	 2203	 D01
100	 221	 Y02
100	 2211	 D01
100	 2212	 D01
100	 2221	 D01
100	 2222	 D01
100	 223	 Y03
100	 2301	 D01
100	 2302	 D01
100	 2303	 D01
100	 2304	 D01
100	 2381	 D01
100	 2401	 D01
100	 2402	 D01
100	 2501	 D01
100	 2502	 D01
100	 2601	 D01
100	 2701	 D01
100	 2801	 D01
100	 2902	 D01
100	 2903	 D01
100	 2904	 D01
100	 3101	 D01
100	 3202	 D01
100	 3203	 D01
100	 3212	 D01
100	 3301	 D01
100	 3302	 D01
100	 3401	 D01
100	 400	 002
100	 400P	 074
100	 400U	 002
100	 400X	 002
100	 401	 002
100	 401U	 002
100	 401X	 002
100	 402	 002
100	 402U	 002
100	 402X	 002
100	 403	 002
100	 403B	 002
100	 403U	 002
100	 403X	 002
100	 404	 002
100	 404U	 002
100	 404X	 002
100	 405	 002
100	 405U	 002
100	 405X	 002
100	 406	 002
100	 406U	 002
100	 406X	 002
100	 410	 032
100	 410U	 032
100	 410X	 032
100	 411	 032
100	 411U	 032
100	 411X	 032
100	 412	 038
100	 412U	 038
100	 412X	 038
100	 413	 038
100	 413U	 038
100	 413X	 038
100	 414	 032
100	 414U	 032
100	 414X	 032
100	 415	 007
100	 415X	 007
100	 417	 032
100	 417X	 032
100	 418	 032
100	 418U	 032
100	 418X	 032
100	 419	 074
100	 41BM	 001
100	 41BS	 001
100	 420	 024
100	 420U	 024
100	 420X	 024
100	 421	 024
100	 421U	 024
100	 421X	 024
100	 422	 034
100	 422H	 034
100	 422U	 034
100	 422X	 034
100	 423	 034
100	 423U	 034
100	 423X	 034
100	 424	 034
100	 424U	 034
100	 424X	 034
100	 425	 034
100	 425X	 034
100	 426	 034
100	 426X	 034
100	 427	 034
100	 427X	 034
100	 428	 034
100	 428X	 034
100	 429	 034
100	 429X	 034
100	 42B	 028
100	 42I	 028
100	 42M	 028
100	 440	 008
100	 440M	 008
100	 441	 008
100	 441M	 008
100	 442	 008
100	 442M	 008
100	 443	 008
100	 443M	 008
100	 444	 008
100	 444M	 008
100	 445	 008
100	 445M	 008
100	 446	 008
100	 446M	 008
100	 447	 008
100	 447M	 008
100	 447P	 008
100	 447Q	 008
100	 448	 008
100	 448M	 008
100	 44L1	 008
100	 44L2	 008
100	 44L3	 074
100	 44L4	 074
100	 44L5	 074
100	 44LU	 074
100	 451	 016
100	 451A	 016
100	 451M	 016
100	 452	 014
100	 452A	 014
100	 452M	 014
100	 453	 033
100	 453A	 033
100	 453M	 033
100	 454	 044
100	 454A	 044
100	 454M	 044
100	 455	 047
100	 455A	 047
100	 455M	 047
100	 456	 045
100	 456A	 045
100	 456M	 045
100	 457	 037
100	 457A	 043
100	 457M	 037
100	 458	 043
100	 458A	 043
100	 458M	 043
100	 459	 026
100	 459M	 026
100	 45A	 008
100	 45AA	 008
100	 45AM	 008
100	 45B	 010
100	 45BA	 010
100	 45BM	 010
100	 45C	 010
100	 45CA	 010
100	 45CM	 010
100	 45D	 044
100	 45DA	 010
100	 45DM	 044
100	 45E	 044
100	 45F	 047
100	 45G	 033
100	 45H0	 011
100	 45H1	 011
100	 45H2	 033
100	 45H5	 054
100	 45H6	 006
100	 45H8	 119
100	 45H9	 119
100	 45HT	 001
100	 45L4	 044
100	 45L5	 074
100	 45L7	 044
100	 45LD	 074
100	 45LG	 074
100	 45N4	 074
100	 45N5	 074
100	 45NA	 074
100	 45ND	 074
100	 45P	 037
100	 45P1	 043
100	 45P2	 082
100	 45P7	 043
100	 45P8	 084
100	 45PM	 118
100	 45Q	 001
100	 45Q1	 124
100	 45Q2	 033
100	 45Q3	 033
100	 45QA	 074
100	 45QB	 074
100	 45QC	 074
100	 45QM	 118
100	 45S	 008
100	 45S0	 008
100	 45S1	 124
100	 45S2	 008
100	 45S3	 008
