AM: Profit center determination based on product hierarchy


MANDT	 PRODH	 PRCTR	 ZZFRPGC	 ZZTOPGC	 ZZMTYIND
X	 X	 	 	 	
Client	 Product hierarchy	 Profit Center	 AM: from BPCS PGC	 AM: to BPCS PGC	 AM: Material type indicator (M / S / V)
MANDT-CLNT(3)	 PRODH-CHAR(18)	 PRCTR-CHAR(10)	 ZZFRPGC-CHAR(4)	 ZZTOPGC-CHAR(4)	 CHAR1-CHAR(1)
100	 	 	 	 	
100	 1100C106	 151100C106	 C106	 C106	 M
100	 1100C111	 151100C111	 C111	 C111	 M
100	 1100C140	 151100C140	 C140	 C140	 M
100	 1100C146	 151100C146	 C146	 C146	 M
100	 1100C168	 151100C168	 C168	 C168	 M
100	 1100C190	 151100C190	 C190	 C190	 M
100	 1100C242	 151100C242	 C242	 C242	 M
100	 1100C40	 1511000C40	 C40	 C40	 M
100	 1100C55	 1511000C55	 C55	 C55	 M
100	 1100C67	 1511000C67	 C67	 C67	 M
100	 1100C77	 1511000C77	 C77	 C77	 M
100	 1100C80	 1511000C80	 C80	 C80	 M
100	 1100C90	 1511000C90	 C90	 C90	 M
100	 1100J34	 1511000J34	 J34	 J34	 M
100	 1100OISZ	 151100OISZ	 OISZ	 OISZ	 M
100	 1100Q	 151100000Q	 Q	 Q	 M
100	 1100S111	 151100S111	 S111	 S111	 M
100	 1100S40	 1511000S40	 S40	 S40	 M
100	 1100S55	 1511000S55	 S55	 S55	 M
100	 1100S67	 1511000S67	 S67	 S67	 M
100	 1100S80	 1511000S80	 S80	 S80	 M
100	 1100S90	 1511000S90	 S90	 S90	 M
100	 1200Z0	 15120000Z0	 Z0	 Z0	 M
100	 1200Z1	 15120000Z1	 Z1	 Z1	 M
100	 1200Z2	 15120000Z2	 Z2	 Z2	 M
100	 1200Z3	 15120000Z3	 Z3	 Z3	 M
100	 1200Z4	 15120000Z4	 Z4	 Z4	 M
100	 1200Z5	 15120000Z5	 Z5	 Z5	 M
100	 1200Z6	 15120000Z6	 Z6	 Z6	 M
100	 1400B111	 151400B111	 B111	 B111	 M
100	 1400B146	 151400B146	 B146	 B146	 M
100	 1400B6	 15140000B6	 B6	 B6	 M
100	 1400B80	 1514000B80	 B80	 B80	 M
100	 1500T0	 15150000T0	 T0	 T0	 M
100	 1500T1	 15150000T1	 T1	 T1	 M
100	 1500T2	 15150000T2	 T2	 T2	 M
100	 1500T3	 15150000T3	 T3	 T3	 M
100	 1500TZ	 15150000TZ	 TZ	 TZ	 M
100	 1600W111	 151600W111	 W111	 W111	 M
100	 1600W77	 1516000W77	 W77	 W77	 M
100	 1800ZH05	 151800ZH05	 ZH05	 ZH05	 M
100	 1800ZH1	 1518000ZH1	 ZH1	 ZH1	 M
100	 1800ZH2	 1518000ZH2	 ZH2	 ZH2	 M
100	 1800ZH3	 1518000ZH3	 ZH3	 ZH3	 M
100	 1800ZHZ	 1518000ZHZ	 ZHZ	 ZHZ	 M
100	 1800ZR55	 151800ZR55	 ZR55	 ZR55	 M
100	 1900HSI	 1519000HSI	 HSI	 HSI	 M
100	 1900ZHC1	 151900ZHC1	 ZHC1	 ZHC1	 M
100	 1900ZHC2	 151900ZHC2	 ZHC2	 ZHC2	 M
100	 1900ZHC3	 151900ZHC3	 ZHC3	 ZHC3	 M
100	 1900ZHCZ	 151900ZHCZ	 ZHCZ	 ZHCZ	 M
100	 1900ZM	 15190000ZM	 ZM	 ZM	 M
100	 2000	 1599999999	 	 	
100	 2000CNGB	 152000CNGB	 CNGB	 CNGB	 S
100	 2000CNGP	 152000CNGP	 CNGP	 CNGP	 S
100	 2000PSTB	 152000PSTB	 PSTB	 PSTB	 S
100	 2000PSTP	 152000PSTP	 PSTP	 PSTP	 S
100	 2100V111	 152100V111	 V111	 V111	 M
100	 2100V146	 152100V146	 V146	 V146	 M
100	 2100V242	 152100V242	 V242	 V242	 M
100	 40	 1399999999	 	 	
100	 40  400	 1300400400	 400	 400	 M
100	 40  400P	 130040400P	 400P	 400P	 M
100	 40  400Y	 130040400Y	 400Y	 400Y	 M
100	 40  401	 1300400401	 401	 401	 M
100	 40  401Y	 130040401Y	 401Y	 401Y	 M
100	 40  402	 1300400402	 402	 402	 M
100	 40  402Y	 130040402Y	 402Y	 402Y	 M
100	 40  403	 1300400403	 403	 403	 M
100	 40  403B	 130040403B	 403B	 403B	 M
100	 40  403Y	 130040403Y	 403Y	 403Y	 M
100	 40  404	 1300400404	 404	 404	 M
100	 40  405	 1300400405	 405	 405	 M
100	 40  406	 1300400406	 406	 406	 M
100	 40  407	 1300400407	 407	 407	 M
100	 40  554	 1300400554	 554	 554	 M
100	 40A	 1399999999	 	 	
100	 40A 404	 13040A0404	 404	 404	 M
100	 40A 404Y	 13040A404Y	 404Y	 404Y	 M
100	 40A 405	 13040A0405	 405	 405	 M
100	 40A 405D	 13040A405D	 405D	 405D	 M
100	 40A 405Y	 13040A405Y	 405Y	 405Y	 M
100	 40A 406	 13040A0406	 406	 406	 M
100	 40A 406Y	 13040A406Y	 406Y	 406Y	 M
100	 40A 410	 13040A0410	 410	 410	 M
100	 40A 410D	 13040A410D	 410D	 410D	 M
100	 40A 410Y	 13040A410Y	 410Y	 410Y	 M
100	 40A 418	 13040A0418	 418	 418	 M
100	 40A 418Y	 13040A418Y	 418Y	 418Y	 M
100	 40A 554A	 13040A554A	 554A	 554A	 M
100	 40M	 1399999999	 	 	
100	 40M 404X	 13040M404X	 404X	 404X	 M
100	 40M 404Y	 13040M404Y	 404Y	 404Y	 M
100	 40M 404Z	 13040M404Z	 404Z	 404Z	 M
100	 40M 405X	 13040M405X	 405X	 405X	 M
100	 40M 405Y	 13040M405Y	 405Y	 405Y	 M
100	 40M 405Z	 13040M405Z	 405Z	 405Z	 M
100	 40M 406X	 13040M406X	 406X	 406X	 M
100	 40M 406Z	 13040M406Z	 406Z	 406Z	 M
100	 40M 410X	 13040M410X	 410X	 410X	 M
100	 40M 410Y	 13040M410Y	 410Y	 410Y	 M
100	 40M 410Z	 13040M410Z	 410Z	 410Z	 M
100	 40M 418X	 13040M418X	 418X	 418X	 M
100	 40M 418Z	 13040M418Z	 418Z	 418Z	 M
100	 40M 554M	 13040M554M	 554M	 554M	 M
100	 40O	 1399999999	 	 	
100	 40O 417	 13040O0417	 417	 417	 M
100	 40S	 1399999999	 	 	
100	 40S 40SR	 13040S40SR	 40SR	 40SR	 M
100	 40U	 1399999999	 	 	
100	 40U 400U	 13040U400U	 400U	 400U	 M
100	 40U 401U	 13040U401U	 401U	 401U	 M
100	 40U 402U	 13040U402U	 402U	 402U	 M
100	 40U 403U	 13040U403U	 403U	 403U	 M
100	 40U 404U	 13040U404U	 404U	 404U	 M
100	 40U 405U	 13040U405U	 405U	 405U	 M
100	 40U 406U	 13040U406U	 406U	 406U	 M
100	 40U 410U	 13040U410U	 410U	 410U	 M
100	 40U 411U	 13040U411U	 411U	 411U	 M
100	 40U 412U	 13040U412U	 412U	 412U	 M
100	 40U 413U	 13040U413U	 413U	 413U	 M
100	 40U 417U	 13040U417U	 417U	 417U	 M
100	 40U 418U	 13040U418U	 418U	 418U	 M
100	 40X	 1399999999	 	 	
100	 40X 400X	 13040X400X	 400X	 400X	 M
100	 40X 400Z	 13040X400Z	 400Z	 400Z	 M
100	 40X 401X	 13040X401X	 401X	 401X	 M
100	 40X 401Y	 13040X401X	 401X	 401X	 M
100	 40X 401Z	 13040X401Z	 401Z	 401Z	 M
100	 40X 402X	 13040X402X	 402X	 402X	 M
100	 40X 402Z	 13040X402Z	 402Z	 402Z	 M
100	 40X 403X	 13040X403X	 403X	 403X	 M
100	 40X 403Y	 13040X403X	 403X	 403X	 M
100	 40X 403Z	 13040X403Z	 403Z	 403Z	 M
100	 40X 404X	 13040X404X	 404X	 404X	 M
100	 40X 405X	 13040X405X	 405X	 405X	 M
100	 40X 406X	 13040X406X	 406X	 406X	 M
100	 40X 550Y	 13040X406X	 406X	 406X	 M
100	 40X 554X	 13040X554X	 554X	 554X	 M
100	 40X 554Y	 13040X554X	 554X	 554X	 M
100	 41	 1399999999	 	 	
