Applicaiton type


MANDT	 APPL	 STRUNAME	 DESCRIPTION	 ACTIVE
X	 X	 	 	
MANDT-CLNT(3)	 NUM02-NUMC(2)	 AS4TAB-CHAR(30)	 TEXT40-CHAR(40)	 CHAR1-CHAR(1)
100	 01	 YSE_EQUIP_CREATION	 Create equipment	 X
100	 02	 YSE_MAPPING_PATNER	 Mapping partner to equipment	 X
100	 03	 	 Dismantle Euipement	 X
100	 04	 	 Migrate equipment	 X
100	 05	 	 Install equipment	 X
100	 06	 	 Create Servie Product	
100	 07	 YSE_AUTO_INST_EQ	 Upload Table Entries	 X
100	 08	 YSE_EQUI_MIG	 Migrate equipment - File	
100	 09	 	 Install equipment	 X
